employee_id,name,department,month,sales_amount,deals_count
E1015,郭涛,华中区,4,167340,15
E1015,郭涛,华中区,5,261649,40
E1015,郭涛,华中区,6,254231,40
E1015,郭涛,华中区,7,35069,12
E1015,郭涛,华中区,8,69449,49
E1015,郭涛,华中区,9,108147,39
E1015,郭涛,华中区,10,48889,28
E1015,郭涛,华中区,11,107643,32
E1015,郭涛,华中区,12,96818,7
E1016,何静,华南区,1,221182,7
E1016,何静,华南区,2,217595,18
E1016,何静,华南区,3,160825,47
E1016,何静,华南区,4,83893,27
E1016,何静,华南区,5,243058,44
E1016,何静,华南区,6,111030,20
E1016,何静,华南区,7,115197,16
E1016,何静,华南区,8,246161,6
E1016,何静,华南区,9,124036,26
E1016,何静,华南区,10,245856,47
E1016,何静,华南区,11,160111,22
E1016,何静,华南区,12,113465,49
E1017,高翔,华东区,1,230562,7
E1017,高翔,华东区,2,276777,19
E1017,高翔,华东区,3,134633,34
E1017,高翔,华东区,4,213321,24
E1017,高翔,华东区,5,149325,19
E1017,高翔,华东区,6,42406,47
E1017,高翔,华东区,7,131255,30
E1017,高翔,华东区,8,202103,22
E1017,高翔,华东区,9,66396,22
E1017,高翔,华东区,10,214101,46
E1017,高翔,华东区,11,297075,30
E1017,高翔,华东区,12,203617,6
E1018,林森,华东区,1,166951,16
E1018,林森,华东区,2,169180,7
E1018,林森,华东区,3,86834,43
E1018,林森,华东区,4,257836,27
E1018,林森,华东区,5,194457,32
E1018,林森,华东区,6,298132,12
E1018,林森,华东区,7,231953,41
E1018,林森,华东区,8,129656,21
E1018,林森,华东区,9,53271,50
E1018,林森,华东区,10,2000,5
E1018,林森,华东区,11,133303,28
E1018,林森,华东区,12,256124,9
E1019,罗杰,华南区,1,194582,47
E1019,罗杰,华南区,2,95339,24
E1019,罗杰,华南区,3,295878,24
E1019,罗杰,华南区,4,244115,25
E1019,罗杰,华南区,5,240973,49
E1019,罗杰,华南区,6,185008,40
E1019,罗杰,华南区,7,96735,17
E1019,罗杰,华南区,8,250434,47
E1019,罗杰,华南区,9,228781,48
E1019,罗杰,华南区,10,121240,44
E1019,罗杰,华南区,11,187784,30
E1019,罗杰,华南区,12,30212,24
E1020,梁丽,华南区,1,140196,32
E1020,梁丽,华南区,2,198951,34
E1020,梁丽,华南区,3,261623,33
E1020,梁丽,华南区,4,142041,37
E1020,梁丽,华南区,5,278085,15
E1020,梁丽,华南区,6,74457,23
E1020,梁丽,华南区,7,205735,10
E1020,梁丽,华南区,8,153138,48
E1020,梁丽,华南区,9,192749,19
E1020,梁丽,华南区,10,134401,14
E1020,梁丽,华南区,11,42805,7
E1020,梁丽,华南区,12,158368,35
